iter	Passed	Remaining
0	22	22816
1	27	13658
2	32	10783
3	37	9317
4	41	8254
5	47	7935
6	52	7491
7	55	6907
8	62	6837
9	66	6592
10	69	6268
11	73	6015
12	77	5856
13	84	5932
14	87	5767
15	92	5673
16	96	5587
17	100	5466
18	103	5340
19	106	5240
20	114	5328
21	118	5260
22	124	5270
23	128	5230
24	132	5167
25	135	5080
26	139	5026
27	143	4982
28	146	4898
29	149	4831
30	157	4911
31	163	4954
32	168	4939
33	174	4963
34	181	5007
35	187	5031
36	190	4969
37	195	4959
38	201	4970
39	206	4960
40	209	4906
41	215	4913
42	219	4881
43	223	4851
44	228	4842
45	231	4794
46	236	4799
47	242	4800
48	247	4793
49	250	4766
50	253	4723
51	258	4710
52	263	4709
53	266	4663
54	269	4624
55	273	4602
56	275	4562
57	279	4540
58	283	4523
59	286	4487
60	291	4480
61	295	4475
62	298	4438
63	303	4431
64	306	4412
65	309	4376
66	313	4372
67	318	4368
68	322	4347
69	325	4319
70	329	4310
71	333	4297
72	336	4267
73	341	4267
74	344	4252
75	347	4223
76	352	4225
77	356	4219
78	359	4191
79	362	4172
80	365	4146
81	368	4126
82	373	4130
83	378	4129
84	384	4144
85	388	4128
86	391	4109
87	395	4100
88	402	4120
89	409	4142
90	415	4155
91	422	4168
92	428	4175
93	433	4177
94	439	4185
95	442	4167
96	446	4157
97	449	4134
98	452	4121
99	457	4115
100	464	4136
101	471	4147
102	477	4155
103	485	4184
104	489	4173
105	493	4159
106	495	4137
107	499	4123
108	502	4107
109	505	4087
110	508	4069
111	510	4050
112	514	4042
113	517	4022
114	520	4009
115	523	3989
116	526	3970
117	528	3952
118	531	3936
119	534	3920
120	537	3901
121	541	3897
122	547	3901
123	552	3901
124	555	3887
125	558	3873
126	561	3856
127	564	3846
128	568	3836
129	571	3821
130	574	3814
131	580	3818
132	584	3811
133	587	3797
134	591	3787
135	593	3771
136	596	3759
137	600	3752
138	603	3738
139	607	3732
140	610	3721
141	613	3707
142	617	3697
143	619	3682
144	622	3668
145	630	3686
146	635	3689
147	639	3679
148	642	3667
149	645	3657
150	647	3642
151	651	3633
152	655	3628
153	659	3620
154	661	3607
155	664	3597
156	667	3585
157	670	3575
158	673	3562
159	676	3551
160	678	3538
161	681	3526
162	685	3521
163	688	3509
164	691	3499
165	695	3492
166	698	3482
167	703	3483
168	706	3473
169	709	3461
170	712	3452
171	714	3441
172	720	3442
173	724	3439
174	727	3428
175	730	3418
176	734	3413
177	736	3402
178	741	3399
179	743	3387
180	748	3387
181	751	3376
182	753	3365
183	757	3358
184	760	3350
185	763	3339
186	767	3336
187	770	3326
188	772	3316
189	776	3310
190	781	3310
191	784	3301
192	787	3294
193	790	3284
194	794	3278
195	796	3269
196	799	3259
197	805	3264
198	809	3258
199	813	3252
200	817	3251
201	821	3245
202	824	3236
203	830	3240
204	838	3250
205	841	3245
206	845	3239
207	849	3234
208	854	3232
209	858	3231
210	868	3247
211	874	3248
212	880	3254
213	885	3250
214	892	3257
215	897	3258
216	900	3250
217	903	3241
218	907	3235
219	912	3235
220	918	3236
221	920	3227
222	924	3222
223	931	3227
224	938	3232
225	947	3245
226	951	3241
227	955	3235
228	962	3240
229	966	3234
230	969	3228
231	974	3225
232	980	3228
233	985	3225
234	988	3218
235	993	3215
236	996	3209
237	1001	3206
238	1004	3198
239	1007	3191
240	1011	3187
241	1014	3177
242	1017	3170
243	1022	3166
244	1025	3158
245	1028	3150
246	1034	3153
247	1039	3152
248	1042	3144
249	1046	3138
250	1053	3143
251	1055	3134
252	1058	3126
253	1063	3122
254	1065	3114
255	1068	3106
256	1072	3101
257	1075	3093
258	1079	3088
259	1081	3078
260	1084	3071
261	1088	3065
262	1091	3057
263	1094	3050
264	1097	3042
265	1099	3035
266	1102	3027
267	1106	3021
268	1110	3018
269	1114	3012
270	1119	3010
271	1122	3005
272	1125	2998
273	1129	2992
274	1132	2984
275	1136	2980
276	1140	2975
277	1142	2968
278	1146	2962
279	1148	2954
280	1151	2947
281	1154	2939
282	1157	2932
283	1159	2923
284	1162	2916
285	1165	2910
286	1168	2902
287	1171	2895
288	1173	2888
289	1178	2884
290	1180	2876
291	1184	2871
292	1186	2863
293	1189	2856
294	1194	2855
295	1198	2850
296	1201	2843
297	1204	2838
298	1207	2831
299	1210	2824
300	1213	2818
301	1216	2812
302	1220	2806
303	1222	2798
304	1225	2793
305	1228	2786
306	1231	2780
307	1235	2775
